5
1800
259	1149
534	504
60	249
648	1037
155	742
872	528
89	199
200	458
775	496
802	240
883	694
1026	491
1112	150
899	479
1146	248
366	611
246	106
1115	663
355	970
906	510
561	985
244	1007
33	445
315	808
147	1117
255	236
660	130
1084	978
280	833
306	275
287	672
92	890
779	56
760	340
1026	515
57	436
349	301
293	382
1103	965
397	456
137	652
1049	3
1139	983
982	625
1022	137
106	515
810	198
254	795
254	1014
1135	130
379	398
923	1085
700	422
674	1009
236	1071
315	373
929	213
377	123
402	208
748	630
702	854
1145	361
1052	606
362	512
469	704
642	54
1102	772
1140	1008
43	1020
867	637
940	31
1010	1075
601	593
47	210
7	1
46	710
855	41
277	1113
647	640
831	322
193	680
377	501
301	723
359	344
592	75
981	738
463	47
1019	270
640	272
480	648
273	527
564	1128
925	841
296	778
330	1127
1100	880
656	683
231	163
255	947
508	53
1022	695
1148	691
1099	1016
961	946
137	648
800	767
381	213
744	155
1054	246
933	234
580	88
320	85
772	551
249	233
704	1114
644	575
1015	641
115	170
864	283
1116	207
931	765
975	161
978	925
673	881
378	812
321	958
900	642
249	878
399	855
318	1104
24	962
885	1040
809	207
416	879
490	381
1087	270
352	117
788	179
248	310
266	626
328	945
433	434
793	1040
519	398
744	837
708	769
1005	443
1015	663
650	280
749	1140
661	1042
616	219
8	610
398	256
126	1021
89	454
21	879
94	20
768	613
419	362
299	1127
1131	510
419	201
380	275
481	1129
621	348
1020	443
567	234
1053	171
847	28
398	936
839	420
665	934
440	282
396	859
1001	1053
42	187
769	461
388	1149
1094	869
1127	564
66	202
1008	633
436	116
804	133
145	409
1069	190
829	940
330	475
429	727
184	279
986	583
467	604
1044	61
603	193
931	936
758	203
345	972
43	781
1088	53
120	439
462	396
630	497
185	960
973	971
893	363
100	1085
946	924
896	45
985	705
239	1122
490	997
532	835
24	932
823	1112
985	943
401	654
545	237
0	1088
403	973
908	503
185	214
437	1131
1138	182
26	179
887	265
507	584
468	245
625	492
26	654
810	1012
804	417
515	198
654	515
135	264
695	250
767	880
464	410
67	809
950	450
988	686
1072	701
476	746
947	308
87	973
168	103
40	972
521	912
377	381
634	869
645	178
1119	618
264	433
1029	688
91	828
1138	285
720	1059
192	403
654	1139
1068	1098
168	85
51	208
264	929
1121	641
159	604
716	11
1139	685
629	252
324	864
941	772
898	134
263	468
400	455
77	1054
801	1145
208	969
79	616
383	343
394	710
190	553
520	907
921	865
798	400
1118	328
470	114
306	218
605	569
686	1005
230	763
115	237
1114	323
412	42
939	2
743	182
712	139
1092	439
1046	863
153	1050
469	477
584	939
948	890
6	403
665	1049
257	896
1018	372
339	981
1052	752
230	840
754	973
228	672
318	170
1111	571
239	114
470	708
591	1055
496	389
794	860
792	666
758	255
768	626
985	1107
813	886
1065	1043
933	668
71	10
190	390
537	507
961	776
621	637
333	419
541	36
808	542
896	806
57	860
267	825
692	101
781	355
988	696
247	1127
570	676
1137	1117
1066	524
474	82
506	301
719	46
720	110
82	734
1009	184
746	1066
1044	1014
1097	586
1115	1084
147	158
986	751
134	406
276	478
729	191
208	409
273	714
711	199
760	637
309	48
221	167
232	967
439	483
36	385
1069	1
675	422
516	511
22	1008
123	299
335	852
847	543
111	327
463	28
526	73
665	41
478	886
565	711
1060	1004
43	1096
595	318
303	476
740	820
987	762
1034	1110
267	218
18	321
1118	129
648	430
514	380
860	28
421	188
121	192
105	30
402	148
332	997
823	993
679	412
662	516
380	902
832	1005
1120	850
175	293
185	29
723	1056
409	790
1085	36
184	55
228	289
442	630
794	774
833	466
616	361
84	484
