20
Ann Arbor
Manhattan
Corvallis
Iowa City
Charlottesville
Palo Alto
Madison
Santa Cruz
Rochester
Bellevue
Overland Park
Cambridge
Berkeley
Fort Collins
Irvine
Boulder
San Luis Obispo
Davis
Lincoln
Evanston
0 6.6 27.5 20 24.3 15.8 26.1 7.7 15 7.7 28.7 11.4 23.8 28.4 29.3 10.7 7.2 8.2 8.1 17.8
9.2 0 9.4 13.3 11.7 14.7 17.9 12 29.3 8 15.1 9.5 19.9 10.7 16.3 22.9 27.3 17.7 13 17.9
28.6 10.8 0 6.1 6 20.1 11.9 17.5 14.1 22.5 19.4 19 23.6 8.5 22.1 16.6 15.7 6.5 12.1 8.8
25.2 5.9 11 0 27.7 25.4 27.8 16.8 9.7 10.6 9 14.7 10.8 17.4 6 23.8 7.8 20.8 17.3 18.9
28.9 10.4 13.9 5.1 0 27.4 27 12.5 24.6 9.6 23.4 8 11 11.9 24.4 8.2 12.1 9.9 29.6 20.6
28.1 23.6 18 15.4 10.3 0 15.1 14.4 8.3 25.5 16.1 16.9 20.3 28.2 27.2 27.7 17.1 24.6 25.9 14.4
15.3 6.6 14.8 18 12.7 14 0 20 22.3 24.1 23.8 26.6 12.5 16.9 25.4 27.1 21 9.7 8.5 14.2
22.9 8 18.3 23.5 12.4 27.3 15.9 0 29.8 27.4 11.4 20.3 18.1 11.9 10.5 16 23.7 12.7 29.7 23.6
19.9 27.5 13.3 14.5 16.2 10.6 24.8 13.6 0 28.6 17.9 9.5 27.6 23.5 12.9 19.6 28.7 26.2 19 27.5
21.5 24.1 11.8 15.7 10.9 23.6 19.5 10.8 6.4 0 14.7 10.7 24.5 5.5 19.9 29.2 21.3 19.4 19 23.2
7.8 8.1 13.5 24.9 21.1 21.3 9.6 9.6 25.4 7.4 0 12.5 27.7 17.8 14 13.7 10.1 16.2 29 17.2
16.9 28.9 21 27.5 17.1 27.9 13 8.3 7.3 12.2 5 0 28.7 20.1 27.7 5.2 11.2 29.7 12.9 23.9
9 25.6 26.8 10 17 21.8 16.3 18.9 15.1 12.8 8 27.2 0 6.5 10.3 6.6 6.7 22 28.3 13.6
16.3 26.3 15.2 7.7 18.7 6 23.9 22.8 10.4 19.5 29.5 9.6 24.8 0 19.5 18.6 9.2 8 23.7 29.5
29.4 13.8 12.6 29.1 29.7 13.7 25.4 18.4 22.1 26 10.6 13.7 27.5 22.5 0 9.1 10.1 23.8 28.2 15.2
14.8 8.4 5.7 20.9 14.7 17.8 27.5 12.8 6.5 20 6.4 23 9.5 21.4 5.5 0 22 22.7 8.4 8
25.5 21 29.5 12 18.3 24.3 15.8 14.1 6.5 24.6 25.3 20.8 23.7 27.1 27.7 12 0 27.4 9.5 28.3
17 17.3 9.8 10.6 27.6 12.6 28.8 16 10.4 29.8 18.7 27.9 16.1 7.7 11.8 6.4 9.3 0 19.5 25.7
21.9 22.4 13.7 14.1 14 28.4 9.5 7.4 11.1 5 22.9 15.1 29.8 26.8 7.5 14.2 11.3 27.1 0 7.6
15.6 16 8.6 11.9 11.2 9.7 29.5 15.5 22.3 20.4 26.9 26.1 22.4 25.5 21.3 9.5 22.3 28.9 8.5 0
